2560, 0.7, 1280, 0.7, layer3, layer4, correct/90, accuracy, loss
2560, 0.7, 1280, 0.7, 1600, 1000, 47, 52.2222222222, 135.0
2560, 0.7, 1280, 0.7, 1600, 1000, 56, 62.2222222222, 110.0
2560, 0.7, 1280, 0.7, 1600, 1300, 48, 53.3333333333, 127.0
2560, 0.7, 1280, 0.7, 1600, 1300, 53, 58.8888888889, 112.0
2560, 0.7, 1280, 0.7, 1600, 1300, 45, 50.0, 149.0
2560, 0.7, 1280, 0.7, 1600, 1600, 47, 52.2222222222, 121.0
2560, 0.7, 1280, 0.7, 1600, 1600, 50, 55.5555555556, 125.0
2560, 0.7, 1280, 0.7, 1600, 1600, 59, 65.5555555556, 100.0
2560, 0.7, 1280, 0.7, 1600, 1900, 52, 57.7777777778, 120.0
2560, 0.7, 1280, 0.7, 1600, 1900, 51, 56.6666666667, 122.0
2560, 0.7, 1280, 0.7, 1600, 1900, 39, 43.3333333333, 163.0
2560, 0.7, 1280, 0.7, 1900, 100, 55, 61.1111111111, 92.0
2560, 0.7, 1280, 0.7, 1900, 100, 53, 58.8888888889, 106.0
2560, 0.7, 1280, 0.7, 1900, 100, 53, 58.8888888889, 114.0
2560, 0.7, 1280, 0.7, 1900, 400, 51, 56.6666666667, 120.0
2560, 0.7, 1280, 0.7, 1900, 400, 53, 58.8888888889, 114.0
2560, 0.7, 1280, 0.7, 1900, 400, 47, 52.2222222222, 118.0
2560, 0.7, 1280, 0.7, 1900, 700, 46, 51.1111111111, 130.0
2560, 0.7, 1280, 0.7, 1900, 700, 52, 57.7777777778, 123.0
2560, 0.7, 1280, 0.7, 1900, 700, 51, 56.6666666667, 118.0
2560, 0.7, 1280, 0.7, 1900, 1000, 51, 56.6666666667, 104.0
2560, 0.7, 1280, 0.7, 1900, 1000, 52, 57.7777777778, 107.0
2560, 0.7, 1280, 0.7, 1900, 1000, 50, 55.5555555556, 124.0
2560, 0.7, 1280, 0.7, 1900, 1300, 49, 54.4444444444, 110.0
2560, 0.7, 1280, 0.7, 1900, 1300, 46, 51.1111111111, 120.0
2560, 0.7, 1280, 0.7, 1900, 1300, 52, 57.7777777778, 105.0
2560, 0.7, 1280, 0.7, 1900, 1600, 52, 57.7777777778, 114.0
2560, 0.7, 1280, 0.7, 1900, 1600, 47, 52.2222222222, 125.0
2560, 0.7, 1280, 0.7, 1900, 1600, 47, 52.2222222222, 105.0
2560, 0.7, 1280, 0.7, 1900, 1900, 53, 58.8888888889, 117.0
2560, 0.7, 1280, 0.7, 1900, 1900, 48, 53.3333333333, 133.0
2560, 0.7, 1280, 0.7, 1900, 1900, 55, 61.1111111111, 109.0
